id_police,bonus_malus,niveau_couverture,duree_contrat_mois,anciennete_situation,frequence_paiement,paiement_usage,usage_vehicule,code_insee,presence_conducteur2,age_conducteur1,age_conducteur2,sexe_conducteur1,sexe_conducteur2,anciennete_permis1,anciennete_permis2,age_vehicule,cylindree,puissance_din,type_carburant,marque_vehicule,modele_vehicule,vitesse_max,type_vehicule,valeur_vehicule,poids_vehicule,code_departement,anciennete_commercialisation,anciennete_fin_commercialisation,montant_total_sinistres,nombre_sinistres,poste_id,latitude,longitude,altitude,mois,precipitations_totales,nb_valeurs_precipitations,precip_max_24h,jour_precip_max,nbj_precip_1mm,nbj_precip_5mm,nbj_precip_10mm,nbj_precip_30mm,nbj_precip_50mm,nbj_precip_100mm,nbj_gelee,amplitude_moyenne,amplitude_maximale,jour_ampli_max,nb_valeurs_amplitude,temperature_moyenne,nb_valeurs_tmoyenne,nb_valeurs_tm,nb_jours_tm_sup24,tmoy_minimale,jour_tmoy_minimale,tmoy_maximale,jour_tmoy_maximale,departement,tranche_age
A00071159-V01,0.5,4,9.0,1.0,2,No,WorkPrivate,58304,Yes,55.0,58.0,F,M,37.0,38.0,7,1997.0,136.0,Diesel,PEUGEOT,_407,208.0,Tourism,29200.0,1580,58,2018.0,2019.0,,0.0,58304005.0,47.368333,3.386,226.0,202301.0,55.0,31.0,8.0,7.0,11.0,5.0,0.0,0.0,0.0,0.0,8.0,4.3,10.4,3.0,31.0,5.2,31.0,31.0,0.0,-0.7,22.0,12.9,1.0,58,46-60
A00049408-V01,0.5,4,1.0,1.0,1,No,WorkPrivate,83042,Yes,48.0,19.0,M,F,30.0,94.0,1,1560.0,90.0,Diesel,CITROEN,C3,180.0,Tourism,19200.0,1058,83,2019.0,2024.0,,0.0,83042001.0,43.261667,6.510333,31.0,202301.0,34.6,31.0,20.2,23.0,4.0,2.0,1.0,0.0,0.0,0.0,7.0,10.4,16.0,29.0,31.0,9.3,31.0,31.0,0.0,3.6,22.0,15.2,3.0,83,46-60
A00028177-V01,0.5,4,13.0,10.0,4,No,Retired,09225,Yes,74.0,51.0,F,M,53.0,29.0,19,954.0,45.0,Gasoline,PEUGEOT,_205,143.0,Tourism,8484.0,760,09,2001.0,2007.0,,0.0,9225005.0,43.118833,1.607,283.0,202301.0,80.7,31.0,25.5,16.0,9.0,5.0,3.0,0.0,0.0,0.0,8.0,7.4,15.7,4.0,31.0,5.7,31.0,31.0,0.0,-0.4,23.0,11.1,10.0,09,61-75
A00036624-V02,0.5,4,5.0,2.0,12,No,WorkPrivate,30269,No,57.0,,M,,34.0,,8,1587.0,109.0,Gasoline,PEUGEOT,_206,197.0,Tourism,16050.0,950,30,2014.0,2017.0,,0.0,30269006.0,44.1105,3.872,196.0,202301.0,36.5,31.0,24.1,2.0,5.0,1.0,1.0,0.0,0.0,0.0,12.0,9.2,14.9,29.0,31.0,6.1,31.0,31.0,0.0,1.1,29.0,12.1,5.0,30,46-60
A00044425-V01,0.5,4,20.0,1.0,1,No,WorkPrivate,60057,Yes,43.0,45.0,F,M,24.0,27.0,1,1360.0,74.0,Gasoline,CITROEN,C3,163.0,Tourism,16350.0,1030,60,2024.0,2024.0,,0.0,60639001.0,49.4465,2.127167,89.0,202301.0,47.4,31.0,8.0,14.0,10.0,4.0,0.0,0.0,0.0,0.0,10.0,5.1,13.4,31.0,31.0,5.4,31.0,31.0,0.0,-0.7,22.0,11.8,5.0,60,31-45
A00069611-V01,0.57,4,8.0,2.0,12,No,WorkPrivate,12145,Yes,31.0,35.0,F,M,11.0,18.0,7,1997.0,90.0,Diesel,CITROEN,XSARA,175.0,Tourism,20750.0,1320,12,2013.0,2019.0,,0.0,12145001.0,44.1185,3.0195,712.0,202301.0,27.7,31.0,9.7,16.0,7.0,1.0,0.0,0.0,0.0,0.0,16.0,4.4,10.2,14.0,31.0,2.6,31.0,31.0,0.0,-3.7,25.0,10.8,1.0,12,31-45
A00067001-V01,0.5,4,10.0,1.0,1,No,WorkPrivate,47323,No,37.0,,F,,15.0,,1,1399.0,68.0,Diesel,FORD,FIESTA,162.0,Tourism,15100.0,1030,47,2024.0,2024.0,,0.0,47323004.0,44.3975,0.764,59.0,202301.0,79.8,31.0,14.8,19.0,12.0,6.0,3.0,0.0,0.0,0.0,9.0,6.0,10.8,12.0,31.0,6.3,31.0,31.0,0.0,-1.3,25.0,15.2,1.0,47,31-45
A00041851-V01,0.5,4,10.0,4.0,2,No,WorkPrivate,29232,No,53.0,,F,,33.0,,16,1196.0,45.0,Gasoline,OPEL,CORSA,145.0,Tourism,9292.0,1200,29,2008.0,2012.0,,0.0,29216001.0,47.973,-4.160667,82.0,202301.0,156.5,31.0,24.2,15.0,20.0,13.0,4.0,0.0,0.0,0.0,4.0,5.1,9.2,20.0,31.0,7.6,31.0,31.0,0.0,1.5,22.0,12.5,4.0,29,46-60
A00081062-V02,0.5,3,19.0,4.0,1,No,WorkPrivate,16113,Yes,80.0,77.0,M,F,58.0,43.0,19,1870.0,66.0,Diesel,RENAULT,R19,161.0,Tourism,14788.0,1005,16,2006.0,2008.0,1236.0,1.0,16113001.0,45.627833,0.099833,58.0,202301.0,100.6,31.0,17.6,15.0,15.0,7.0,5.0,0.0,0.0,0.0,7.0,4.9,13.6,30.0,31.0,6.5,31.0,31.0,0.0,-0.2,22.0,14.9,1.0,16,76+
A00040996-V01,0.5,1,19.0,2.0,2,No,Professional,88201,No,57.0,,M,,35.0,,10,1870.0,101.0,Diesel,RENAULT,TRAFIC,155.0,Commercial,23980.0,0,88,2015.0,2020.0,,0.0,88201003.0,48.138,6.3235,355.0,202301.0,100.0,31.0,18.7,14.0,17.0,9.0,2.0,0.0,0.0,0.0,13.0,3.9,8.9,3.0,31.0,3.6,31.0,31.0,0.0,-2.6,30.0,12.2,1.0,88,46-60
